model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expected input-gradient norm,expanded kl
MLP-49k,49394.0,last_layer,kron,0.1000000014901161,0.4492,0.52966,0.4493,0.52972,1.5743024,1.5751375,1.3257102,1.3264087,1.333950625,1.334544750328064,0.0081360064697265,90,1.590403404267298,4926.265977636234,1.5829997062683105,299999.25,472193.5625,10.245665550231934,0.002144607877731323,246307952.0
MLP-74k,74182.0,last_layer,kron,0.1000000014901161,0.4683,0.57866,0.4679,0.57866,1.530016,1.5312923,1.1698811,1.1708272,1.18039390625,1.1811866522979737,0.010359501953125,130,1.5562154621144126,7398.859413000425,1.959712028503418,299997.8,459462.375,12.819318771362305,0.0024346698999404906,369935040.0
MLP-99k,99034.0,last_layer,kron,0.1000000014901161,0.4813,0.62414,0.4808,0.6242,1.5406039,1.542501,1.0701289,1.0713873,1.0847159375,1.0854216452026366,0.0140343542480468,170,1.575422815640867,9877.79458655619,2.2343831062316895,299999.75,462748.65624999994,14.21005630493164,0.0026059278964996337,493879136.0
MLP-199k,199082.0,last_layer,kron,0.1000000014901161,0.5074,0.7363,0.5075,0.73622,1.585998,1.5907631,0.77031887,0.77253073,0.79580671875,0.7974126363945008,0.0248819018554687,330,1.6581602773867663,19857.387425960584,3.416044235229492,299999.75,477590.28125,19.614662170410156,0.00329688777923584,992848256.0
MLP-300k,300154.0,last_layer,kron,0.1000000014901161,0.5079,0.813,0.5081,0.81306,1.706864,1.7158344,0.58039737,0.5832181,0.6150586328125,0.6173291157531738,0.0341110180664062,490,1.8145999123652752,29939.113809604467,4.622971057891846,299999.75,514440.40624999994,23.57331657409668,0.003983116316795349,1496924032.0
MLP-402k,402250.0,last_layer,kron,0.1000000014901161,0.5201,0.87128,0.5201,0.87108,1.8200945,1.8346667,0.43716398,0.4402882,0.481272265625,0.4836504712295532,0.04336228515625,650,1.9699992067959595,40123.01953898615,6.0492353439331055,299999.75,550876.25,27.14546775817871,0.004418348550796509,2006108672.0
MLP-609k,609514.0,last_layer,kron,0.1000000014901161,0.5221,0.9293,0.522,0.92942,1.9552834,1.9846593,0.28913164,0.2926395,0.3499932421875,0.3529934246063232,0.0603539306640625,970,2.1828613275170787,60797.477539791675,7.60951566696167,299999.75,594060.375,32.614463806152344,0.004939695453643799,3039810048.0
MLP-820k,820874.0,last_layer,kron,0.1000000014901161,0.527,0.96654,0.5268,0.9665,2.0656354,2.1179674,0.19175059,0.19520636,0.2665091796875,0.2688194254350662,0.07361306640625,1290,2.3878563386538763,81880.98190901481,9.1175537109375,299999.56,634474.875,37.69154739379883,0.005326263332366943,4093963520.0
MLP-1255k,1255882.0,last_layer,kron,0.1000000014901161,0.5327,0.98946,0.5327,0.98942,2.1111467,2.2257028,0.1124726,0.11623087,0.21036291015625,0.2123005162405967,0.0960696484375,1930,2.64200445763953,125275.23929074447,10.62796401977539,299999.75,667325.4375,45.90565872192383,0.0057555448055267334,6263631872.0
MLP-1707k,1707274.0,last_layer,kron,0.1000000014901161,0.5481,0.9958,0.5487,0.99582,2.055202,2.2526221,0.08439042,0.08924837,0.1976364453125,0.2007249682164192,0.1114766015625,2570,2.8186868647557435,170306.10475500688,11.384519577026367,299999.75,675299.25,53.810638427734375,0.005788397789001465,8515129344.0
MLP-2659k,2659210.0,last_layer,kron,0.1000000014901161,0.5566,0.9989,0.557,0.9989,1.9272121,2.3080375,0.07520561,0.08548568,0.21101451171875,0.2218364924383163,0.136350810546875,3850,3.1933532478798443,265277.92602564127,11.919071197509766,299999.75,692727.25,67.28941345214844,0.0059822540283203125,13263624192.0
MLP-3676k,3676682.0,last_layer,kron,0.1000000014901161,0.555,0.99952,0.5553,0.99948,1.8025558,2.367597,0.08177765,0.10265853,0.23142,0.2580822239661217,0.15542369140625,5130,3.587936059799785,366796.7959559207,12.613391876220703,299999.75,709583.1249999999,81.14332580566406,0.006084487962722779,18339465216.0
MLP-5908k,5908234.0,last_layer,kron,0.1000000014901161,0.5606,0.9997,0.5597,0.99968,1.6320511,2.5368912,0.11031465,0.16959973,0.27034470703125,0.3514272658586502,0.1818275390625,7690,4.504339392591771,589475.4416926831,14.23310375213623,299999.75,761825.2500000002,109.05713653564453,0.006566090965270996,29473173504.0
MLP-8401k,8401930.0,last_layer,kron,0.1000000014901161,0.5644,0.99984,0.5637,0.99984,1.4963154,2.7038512,0.14661056,0.26710016,0.30286654296875,0.4663990616035461,0.19929890625,10250,5.492129867781432,838342.3373019625,15.526450157165527,299999.75,809295.25,137.14646911621094,0.007188841485977173,41916268544.0
