model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expected input-gradient norm,expanded kl
MLP-49k,49394.0,last_layer,kron,100.0,0.4492,0.52966,0.4493,0.52982,1.5743057,1.5751193,1.3257093,1.3263884,1.350985,1.3515786349487304,0.0251902758789062,90,1.5561522854377252,4.12080493968886,1.5829473733901978,62.155655,92.60285949707031,4.767402648925781,0.00214456045627594,204762.796875
MLP-74k,74182.0,last_layer,kron,100.0,0.4683,0.5787,0.4681,0.57866,1.5300379,1.5311371,1.1698798,1.1707044,1.20177609375,1.2026064399719238,0.0319020751953125,130,1.5299945036312086,6.053661958645645,1.9593737125396729,782.45984,1191.1055908203125,5.412447929382324,0.0024341930389404297,301068.125
MLP-99k,99034.0,last_layer,kron,100.0,0.4812,0.62412,0.4809,0.6242,1.540655,1.5423979,1.0701205,1.0712852,1.10803171875,1.1087570397949218,0.0374717919921875,170,1.542318478862373,7.936426830739961,2.234035015106201,7450.0967,11482.4853515625,5.83747673034668,0.0026057022571563723,394926.0
MLP-199k,199082.0,last_layer,kron,100.0,0.5075,0.73634,0.5074,0.7362,1.5863025,1.5903814,0.77024204,0.77216303,0.83073703125,0.8323675549697876,0.060204521484375,330,1.5916423904107269,15.430153184759229,3.4144914150238037,299763.62,477101.0625,7.468756675720215,0.0032960156679153444,768468.1875
MLP-300k,300154.0,last_layer,kron,100.0,0.508,0.81302,0.5078,0.81304,1.7079743,1.7148595,0.5801164,0.58234376,0.6556678125,0.6579900852775573,0.075646328125,490,1.7138722304981906,22.82371411261841,4.618323802947998,299798.94,513794.25,8.446698188781738,0.0039810487747192385,1137366.75
MLP-402k,402250.0,last_layer,kron,100.0,0.5201,0.8713,0.5203,0.87114,1.8225234,1.832958,0.43654206,0.438873,0.5247254296875,0.5271901414299012,0.0883171484375,650,1.8346908260561567,30.16549426853403,6.040040016174316,299724.5,549871.625,9.17136001586914,0.0044149578094482425,1503814.875
MLP-609k,609514.0,last_layer,kron,100.0,0.5221,0.92938,0.522,0.92934,1.9623749,1.9808269,0.28752714,0.28986332,0.393356484375,0.3965499490642548,0.106686630859375,970,1.9764794130710335,44.803694014950835,7.584689140319824,299790.94,592485.8125,10.168745040893555,0.004932376623153686,2234791.75
MLP-820k,820874.0,last_layer,kron,100.0,0.5272,0.96654,0.5271,0.96656,2.08236,2.109769,0.18848762,0.19040029,0.30605556640625,0.3087064593839645,0.118306171875,1290,2.1067885938809545,59.5642537671615,9.060806274414062,299913.25,631794.25,10.852190017700195,0.005309777593612671,2972224.0
MLP-1255k,1255882.0,last_layer,kron,100.0,0.5323,0.98938,0.5326,0.98946,2.1597602,2.203624,0.10480727,0.10615065,0.23084234375,0.2329518408942222,0.12680119140625,1930,2.202316974315562,89.58809926360269,10.46023178100586,299879.5,660340.125,11.514205932617188,0.0057110801219940185,4472961.5
MLP-1707k,1707274.0,last_layer,kron,100.0,0.5483,0.99582,0.548,0.99582,2.151001,2.2069404,0.07095986,0.07193139,0.200320859375,0.202149263048172,0.13021787109375,2570,2.205493212075253,120.54610510340697,11.031919479370117,299896.7,661299.5625,11.985384941101074,0.0056961119651794435,6020660.0
MLP-2659k,2659210.0,last_layer,kron,100.0,0.5568,0.9989,0.557,0.9989,2.128565,2.200231,0.047769018,0.048430048,0.17820306640625,0.1796181631636619,0.131188115234375,3850,2.2009013091112197,185.594896323372,11.061424255371094,299919.2,659906.9375,12.6024169921875,0.005753980112075806,9272986.0
MLP-3676k,3676682.0,last_layer,kron,100.0,0.555,0.99952,0.5553,0.99952,2.0966961,2.1801953,0.03800693,0.038537517,0.1696591015625,0.1709162867212295,0.13237876953125,5130,2.1814049881822806,254.99787503724315,11.153074264526367,299996.56,654159.0,13.181747436523438,0.00566154670715332,12743006.0
MLP-5908k,5908234.0,last_layer,kron,100.0,0.5604,0.99974,0.56,0.9997,2.0724962,2.1687403,0.029821603,0.030238552,0.161680322265625,0.162978210222125,0.132739658203125,7690,2.170847681898277,406.8916738018903,11.239675521850586,299936.12,650708.75,14.16551399230957,0.00560037899017334,20337526.0
MLP-8401k,8401930.0,last_layer,kron,100.0,0.5648,0.99984,0.5649,0.99984,2.031816,2.135604,0.026157431,0.026522495,0.157048837890625,0.1585806198525428,0.132058125,10250,2.1351702895240154,576.3123406820248,10.91280460357666,299975.3,639922.0625,15.03890609741211,0.005532016611099243,28808424.0
