model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expected input-gradient norm,expanded kl
MLP-49k,49394.0,last_layer,kron,3.5599234104156494,0.4492,0.52966,0.4492,0.52974,1.5743024,1.5751368,1.3257102,1.3264078,1.33184046875,1.3324352669906616,0.0060274768066406,90,1.5744357422790867,136.02673432170423,1.5829977989196777,299973.44,472152.875,5.001504421234131,0.0021446062088012695,6800885.5
MLP-74k,74182.0,last_layer,kron,3.770129919052124,0.4683,0.57868,0.4679,0.57866,1.5300153,1.5312321,1.1698803,1.170788,1.177336796875,1.178157593154907,0.0073695434570312,130,1.5321379245753655,192.6178382104324,1.9596116542816162,299987.06,459428.9375,5.868980407714844,0.002434418320655823,9630317.0
MLP-99k,99034.0,last_layer,kron,4.526758670806885,0.4813,0.62414,0.4809,0.62418,1.5406075,1.5424956,1.0701282,1.0713817,1.08038515625,1.0810922996902466,0.0097106115722656,170,1.5432014002677028,213.36545423086804,2.234363079071045,299981.38,462718.3125,6.141104698181152,0.002605914545059204,10667560.0
MLP-199k,199082.0,last_layer,kron,5.382964611053467,0.5074,0.7363,0.5072,0.73624,1.5860205,1.5907364,0.7703122,0.77250373,0.786904375,0.7885106867599487,0.016006953125,330,1.5931404264618625,358.9342619485751,3.4159374237060547,299984.5,477558.5,7.859807968139648,0.003296822643280029,17945540.0
MLP-300k,300154.0,last_layer,kron,6.196305751800537,0.5079,0.81302,0.5081,0.813,1.7069867,1.7157307,0.58036584,0.5831252,0.60122546875,0.6034972101783752,0.0203720361328125,490,1.7162499110091403,468.0938502233484,4.622453212738037,299993.2,514395.1875,8.910663604736328,0.003982889723777771,23403192.0
MLP-402k,402250.0,last_layer,kron,6.919724941253662,0.5201,0.87128,0.52,0.87104,1.8204074,1.8344473,0.43708438,0.4401124,0.462266328125,0.4646521776008606,0.024539765625,650,1.8379104199015552,559.5962880015961,6.048050880432129,299986.7,550789.0625,9.70435905456543,0.0044179168701171875,27978014.0
MLP-609k,609514.0,last_layer,kron,8.213823318481445,0.5221,0.9293,0.5222,0.9294,1.9565617,1.9839845,0.28884923,0.29216182,0.320119140625,0.3231477939987182,0.0309859716796875,970,1.9818933375003027,709.5550533829585,7.6050567626953125,299990.12,593838.875,10.835617065429688,0.004938375806808472,35475480.0
MLP-820k,820874.0,last_layer,kron,9.2034273147583,0.5271,0.96654,0.5271,0.96644,2.0698936,2.115886,0.19093388,0.19401135,0.225605234375,0.2279589919900894,0.033947646484375,1290,2.1156194335308007,848.5057540717769,9.102886199951172,299980.44,633795.9375,11.791139602661133,0.005321929025650024,42422728.0
MLP-1255k,1255882.0,last_layer,kron,11.113890647888184,0.5327,0.98948,0.5327,0.9895,2.1298456,2.2171233,0.109537214,0.11231115,0.14664029296875,0.1484265499854087,0.0361154028320312,1930,2.219260125335057,1064.8472086572162,10.561029434204102,299975.2,664658.125,13.118331909179688,0.005737821006774902,53239476.0
MLP-1707k,1707274.0,last_layer,kron,12.035058975219728,0.5484,0.99582,0.5481,0.99584,2.1028354,2.229254,0.07754317,0.08012662,0.11349638671875,0.1152675436806678,0.0351409228515625,2570,2.2319017459262374,1330.3588244095508,11.200141906738281,299994.44,668227.75,14.581765174865723,0.005739240169525146,66514840.0
MLP-2659k,2659210.0,last_layer,kron,13.095178604125977,0.5567,0.9989,0.557,0.9989,2.0525079,2.236494,0.056668792,0.059196606,0.09024888671875,0.0923961692667007,0.0331995629882812,3850,2.2430511138822573,1893.7521509162177,11.338695526123047,299996.06,671012.75,17.167949676513672,0.005826305913925171,94684040.0
MLP-3676k,3676682.0,last_layer,kron,13.466057777404783,0.555,0.99952,0.556,0.99946,2.0006971,2.2284126,0.04838807,0.051019013,0.080183193359375,0.0830378068733215,0.0320187939453125,5130,2.236532304835893,2540.6968690415374,11.512571334838867,299998.44,668415.5,19.577077865600586,0.005757585382461548,127030688.0
MLP-5908k,5908234.0,last_layer,kron,13.596725463867188,0.5601,0.9997,0.5607,0.9997,1.9510511,2.232841,0.04192695,0.044813134,0.070834521484375,0.0750925038933753,0.0302793701171875,7690,2.247492853893726,4038.7516507133428,11.729484558105469,299998.06,670204.7500000001,23.841075897216797,0.005746056699752808,201932016.0
MLP-8401k,8401930.0,last_layer,kron,13.542237281799316,0.5648,0.99984,0.5644,0.99984,1.8951044,2.2113113,0.039458048,0.04259015,0.0659084716796875,0.0716114109539985,0.0290212622070312,10250,2.227851033992037,5766.036458301584,11.476249694824219,299998.25,662585.375,27.552513122558594,0.0057162353515625,288294592.0
