model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expected input-gradient norm,expanded kl
MLP-49k,49394.0,last_layer,kron,10.0,0.4492,0.52966,0.4492,0.52976,1.5743028,1.5751362,1.3257102,1.3264064,1.33246265625,1.333057688407898,0.0066513287353515,90,1.5741392689415397,47.341459468135874,1.582993984222412,299920.3,472069.0,4.846035957336426,0.0021446030378341674,2366679.25
MLP-74k,74182.0,last_layer,kron,10.0,0.4683,0.57868,0.468,0.57868,1.5300194,1.5312126,1.1698796,1.1707721,1.17808515625,1.1789127018737793,0.0081406262207031,130,1.531713302085822,70.97289139425975,1.9595690965652466,299965.94,459390.84375,5.5937418937683105,0.002434348177909851,3548152.75
MLP-99k,99034.0,last_layer,kron,10.0,0.4813,0.62414,0.481,0.62416,1.540611,1.5424886,1.0701271,1.0713748,1.08103,1.0817386375045777,0.0103638635253906,170,1.5427975335261812,94.61222241818491,2.2343382835388184,299963.7,462688.625,5.970467567443848,0.002605898594856262,4729984.5
MLP-199k,199082.0,last_layer,kron,10.0,0.5074,0.73634,0.5072,0.73624,1.5860406,1.5907124,0.77030796,0.7724828,0.787630625,0.7892390941429138,0.0167562817382812,330,1.5925539976258172,189.6905664032775,3.415844678878784,299986.06,477554.3125,7.675220489501953,0.0032967686176300047,9483487.0
MLP-300k,300154.0,last_layer,kron,10.0,0.5079,0.81302,0.5081,0.81298,1.7070554,1.7156729,0.5803487,0.583073,0.60183453125,0.6041079809188843,0.0210349609375,490,1.7155808671819983,285.5719427100029,4.622169494628906,299971.88,514340.4375,8.737601280212402,0.003982763314247131,14277246.0
MLP-402k,402250.0,last_layer,kron,10.0,0.5201,0.87128,0.5201,0.87108,1.8205329,1.8343601,0.4370525,0.44004142,0.462718359375,0.4651078779220581,0.025066455078125,650,1.8372348020630573,382.3021088074654,6.047576427459717,299983.2,550757.25,9.547855377197266,0.00441774377822876,19113456.0
MLP-609k,609514.0,last_layer,kron,10.0,0.5221,0.9293,0.5221,0.92936,1.9567964,1.9838586,0.28879693,0.29207236,0.32028755859375,0.3233213669776916,0.0312490112304687,970,1.981330596173987,578.4162936473145,7.6042351722717285,299960.5,593742.5,10.730877876281738,0.004938132619857788,28918660.0
MLP-820k,820874.0,last_layer,kron,10.0,0.5271,0.96654,0.5271,0.96644,2.070168,2.1157525,0.19088054,0.19393352,0.22563595703125,0.2279938976001739,0.034060380859375,1290,2.1152489825035414,778.2483816587037,9.101943969726562,299994.5,633784.8125,11.732065200805664,0.0053216547966003416,38909924.0
MLP-1255k,1255882.0,last_layer,kron,10.0,0.5327,0.98948,0.5326,0.9895,2.1286347,2.2176738,0.10972801,0.11256305,0.1467431640625,0.1485299165177345,0.035966865234375,1930,2.2202331161509195,1189.20274723039,10.565240859985352,299991.0,664860.7500000001,13.241767883300781,0.0057389439582824706,59457136.0
MLP-1707k,1707274.0,last_layer,kron,10.0,0.5485,0.99582,0.5481,0.99584,2.0985255,2.2313058,0.0781489,0.08090552,0.1138265234375,0.1156528460860252,0.0347473266601562,2570,2.234914221487819,1615.4618928747288,11.215953826904297,299998.44,668855.3125,14.941926002502441,0.005743416404724121,80769728.0
MLP-2659k,2659210.0,last_layer,kron,10.0,0.5566,0.9989,0.5568,0.9989,2.0399992,2.2428584,0.05828497,0.061265346,0.090993056640625,0.0935149355065822,0.03224958984375,3850,2.251530596463337,2514.2245703914627,11.388368606567383,299999.2,672943.1250000001,18.160484313964844,0.005839602899551392,125707088.0
MLP-3676k,3676682.0,last_layer,kron,10.0,0.5548,0.99952,0.556,0.99944,1.9816697,2.239014,0.050814662,0.054160487,0.08113236328125,0.0848113633716106,0.0306508764648437,5130,2.250091836968447,3474.8165835183468,11.592996597290039,299998.56,671549.5,21.174179077148438,0.005780529451370239,173735808.0
MLP-5908k,5908234.0,last_layer,kron,10.0,0.5603,0.9997,0.5605,0.9997,1.9240791,2.2492797,0.045344282,0.049335666,0.071909912109375,0.0777973505711555,0.0284616845703125,7690,2.2691722948966837,5581.515728309348,11.856887817382812,299994.25,675157.125,26.407817840576172,0.005786142015457153,279068768.0
MLP-8401k,8401930.0,last_layer,kron,10.0,0.5649,0.99984,0.5644,0.99984,1.8640826,2.231615,0.04348097,0.048004102,0.0670029296875,0.0750193753993511,0.0270152734375,10250,2.2552848173210767,7935.640724398137,11.629956245422363,299998.56,668646.5625,30.84433364868164,0.00576963758468628,396772736.0
