model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expected input-gradient norm,expanded kl
MLP-49k,49394.0,last_layer,kron,0.0099999997764825,0.4492,0.52966,0.4493,0.52968,1.5743011,1.5751349,1.3257105,1.3264064,1.335799375,1.3363880991744994,0.0099817395019531,90,1.7383130037958563,49299.62281050593,1.5829943418502808,299999.75,472193.84375,28.410640716552734,0.0021446078062057495,2464931328.0
MLP-74k,74182.0,last_layer,kron,0.0099999997764825,0.4683,0.57866,0.468,0.57868,1.5300175,1.5312946,1.1698811,1.1708287,1.18305703125,1.1838458948898316,0.0130171948242187,130,1.7783726421745893,74045.28555921622,1.9597148895263672,299999.75,459466.06250000006,35.924739837646484,0.002434696340560913,3702189568.0
MLP-99k,99034.0,last_layer,kron,0.0099999997764825,0.4813,0.62412,0.4809,0.62416,1.5406046,1.5425001,1.0701292,1.071386,1.088208359375,1.0889145685195922,0.0175285888671875,170,1.8720118512195303,98854.89986289635,2.2343785762786865,299999.75,462748.18749999994,41.325706481933594,0.0026059282064437865,4942645248.0
MLP-199k,199082.0,last_layer,kron,0.0099999997764825,0.5074,0.7363,0.5074,0.73622,1.5859985,1.5907608,0.77031875,0.7725292,0.80260171875,0.8042037209510803,0.0316745361328125,330,2.254411719126063,198733.20213488903,3.416034698486328,299999.75,477589.75000000006,57.31867218017578,0.0032968888998031617,9936459776.0
MLP-300k,300154.0,last_layer,kron,0.0099999997764825,0.5079,0.813,0.5081,0.81304,1.7068646,1.7158332,0.5803972,0.5832173,0.625148515625,0.6274251939201355,0.04420787109375,490,2.713588398218674,299635.21606850263,4.62297248840332,299999.75,514440.625,70.05099487304688,0.003983120012283325,14981458944.0
MLP-402k,402250.0,last_layer,kron,0.0099999997764825,0.5201,0.87128,0.5203,0.871,1.8200926,1.8346691,0.43716475,0.44028977,0.4946706640625,0.4970511523151397,0.05676138671875,650,3.174795297991451,401561.0456986109,6.049246311187744,299999.75,550876.75,80.96173858642578,0.004418354749679565,20077647872.0
MLP-609k,609514.0,last_layer,kron,0.0099999997764825,0.5221,0.9293,0.5221,0.92944,1.9552698,1.984666,0.28913432,0.29264453,0.3700071875,0.3730069035816192,0.080362373046875,970,4.008490932406561,608484.0275992352,7.609563827514648,299999.75,594062.2500000001,97.95817565917969,0.004939712524414062,30423588864.0
MLP-820k,820874.0,last_layer,kron,0.0099999997764825,0.527,0.96654,0.5268,0.9665,2.0655746,2.117999,0.19176237,0.19522363,0.2931230859375,0.2954448501777649,0.100221220703125,1290,4.846630472820844,819502.5551886348,9.117778778076172,299999.75,634485.3750000001,114.07344055175781,0.005326334142684936,40974303232.0
MLP-1255k,1255882.0,last_layer,kron,0.0099999997764825,0.5326,0.98946,0.5328,0.98942,2.110871,2.2258334,0.11251618,0.116289936,0.250206875,0.2521775336623192,0.13588759765625,1930,6.403978016781643,1253825.8040399887,10.629023551940918,299999.75,667366.0,139.1151123046875,0.005755815744400024,62690029568.0
MLP-1707k,1707274.0,last_layer,kron,0.0099999997764825,0.5481,0.9958,0.5485,0.99582,2.0540476,2.25322,0.08455484,0.08948304,0.250600859375,0.2537673930597305,0.16428435546875,2570,7.933364088955183,1704531.2433455326,11.389259338378906,299999.75,675476.0,160.9602813720703,0.005789704656600952,85224849408.0
MLP-2659k,2659210.0,last_layer,kron,0.0099999997764825,0.5566,0.9989,0.5569,0.9989,1.9237617,2.3103483,0.07580632,0.0864466,0.29017705078125,0.3014806997346878,0.2150341015625,3850,11.161764165085449,2655088.709084593,11.938925743103027,299999.75,693437.7500000005,197.36891174316406,0.005987524747848511,132751769600.0
MLP-3676k,3676682.0,last_layer,kron,0.0099999997764825,0.5549,0.99952,0.5553,0.99948,1.7956632,2.3743289,0.08341216,0.10570323,0.3363703125,0.3649332662844657,0.2592300390625,5130,14.60918688049602,3671175.2868520864,12.669755935668945,299999.75,711577.1249999995,229.73846435546875,0.006101492643356323,183555080192.0
MLP-5908k,5908234.0,last_layer,kron,0.0099999997764825,0.5605,0.9997,0.5601,0.99968,1.617402,2.5637841,0.1162111,0.1839643,0.4256509765625,0.5175541409254074,0.33358984375,7690,22.232897391087278,5899935.784101835,14.475428581237793,299999.75,769927.875,286.2257080078125,0.006642812013626099,294990872576.0
MLP-8401k,8401930.0,last_layer,kron,0.0099999997764825,0.5646,0.99984,0.563,0.99982,1.4769696,2.7693524,0.1599943,0.30712178,0.506736171875,0.7029659631824494,0.3958441796875,10250,30.73191834747167,8390813.071261914,16.1241512298584,299999.75,828754.75,336.6319274902344,0.00739722695350647,419532242944.0
